经济学院,,﻿,复旦大学经济学院,,,,,﻿复旦大学经济学院现设有：经济系、世界经济系、国际金融系、公共经济学系、保险系、世界经济研究所、中国社会主义市场经济研究中心和金融研究院等八个建制单位，1个“985工程”创新基地，28个研究机构。
经济学院,复旦大学经济学院复旦大学经济学院,设有,经济系、世界经济系、国际金融系、公共经济学系、保险系、世界经济研究所、中国社会主义市场经济研究中心和金融研究院等八个建制单位，1个“985工程”创新基地，28个研究机构,,经济学院,,,﻿复旦大学经济学院现设有：经济系、世界经济系、国际金融系、公共经济学系、保险系、世界经济研究所、中国社会主义市场经济研究中心和金融研究院等八个建制单位，1个“985工程”创新基地，28个研究机构。
经济学院,其中教授,人,,,,,50,全院教职工173人，其中教授50人，副教授49人。
经济学院,其中教授,副教授人,,,,,49,全院教职工173人，其中教授50人，副教授49人。
经济学院,经济学院,拥有,强大的老中青结合的教学和科研力量,,学院,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,经济学院,结合,教学和科研力量,,学院,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,既有在国内外享有盛誉的老一辈经济学家,享有,盛誉,,,,一,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,经济学院,又有,近年来在国内理论界崭露头角的中青年经济学者,近年来,,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,经济学院,崭露头角,中青年经济学者,近年,,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,学术梯队,完整,,近年,,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,教研经验,丰富,,近年,,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,其整体实力其整体实力,处于,领先地位,近年,,,,经济学院拥有强大的老中青结合的教学和科研力量，既有在国内外享有盛誉的老一辈经济学家，又有近年来在国内理论界崭露头角的中青年经济学者，学术梯队完整，教研经验丰富，其整体实力在国内经济学界处于领先地位。
经济学院,理论经济学和应用经济学博士后流动站,2个,,,,,2,学院现有理论经济学和应用经济学博士后流动站2个；理论经济学一级学科及金融学、产业经济学2个应用经济学二级学科被评为全国重点学科；博士学位授予专业9个，硕士学位授予专业12个，学士学位授予专业5个。
经济学院,学科,评为,全国重点学科,,,,2,学院现有理论经济学和应用经济学博士后流动站2个；理论经济学一级学科及金融学、产业经济学2个应用经济学二级学科被评为全国重点学科；博士学位授予专业9个，硕士学位授予专业12个，学士学位授予专业5个。
经济学院,博士学位,授予,专业,,,,9,学院现有理论经济学和应用经济学博士后流动站2个；理论经济学一级学科及金融学、产业经济学2个应用经济学二级学科被评为全国重点学科；博士学位授予专业9个，硕士学位授予专业12个，学士学位授予专业5个。
经济学院,硕士学位,授予,专业,,,,12,学院现有理论经济学和应用经济学博士后流动站2个；理论经济学一级学科及金融学、产业经济学2个应用经济学二级学科被评为全国重点学科；博士学位授予专业9个，硕士学位授予专业12个，学士学位授予专业5个。
经济学院,学士学位,授予,专业,,,,5,学院现有理论经济学和应用经济学博士后流动站2个；理论经济学一级学科及金融学、产业经济学2个应用经济学二级学科被评为全国重点学科；博士学位授予专业9个，硕士学位授予专业12个，学士学位授予专业5个。
经济学院,学科,列入,“211工程”国家重点学科建设项目,,,,211,其中理论经济学一级学科及金融学、产业经济学二级学科被列入“211工程”国家重点学科建设项目。
经济学院,经济学院,具有,优良的教学和科研条件,,,,,经济学院具有优良的教学和科研条件，设有文献与数据中心、“985工程”、“211工程”、教学创新实验室等现代化教学和科研设施。
经济学院,经济学院,设有,文献与数据中心、“985工程”、“211工程”、教学创新实验室等现代化教学和科研设施,,,,985,经济学院具有优良的教学和科研条件，设有文献与数据中心、“985工程”、“211工程”、教学创新实验室等现代化教学和科研设施。
经济学院,学院,建立,固定的资料交流关系,,世界银行,,,学院与世界银行、美国、日本等国家的学术机构建立了固定的资料交流关系，并设有欧洲共同体中心，是欧盟在我国建立的第一个资料中心。
经济学院,学院,设有,欧洲共同体中心,,,,,学院与世界银行、美国、日本等国家的学术机构建立了固定的资料交流关系，并设有欧洲共同体中心，是欧盟在我国建立的第一个资料中心。
经济学院,学院,建立,资料中心,,欧盟,,,学院与世界银行、美国、日本等国家的学术机构建立了固定的资料交流关系，并设有欧洲共同体中心，是欧盟在我国建立的第一个资料中心。
经济学院,学院,院刊,《世界经济文汇》,,,,,学院院刊《世界经济文汇》是国家级甲类核心刊物，在国内外享有较高的声誉。
经济学院,《世界经济文汇》《世界经济文汇》,享有,较高的声誉,,,,,学院院刊《世界经济文汇》是国家级甲类核心刊物，在国内外享有较高的声誉。
经济学院,经济学院,举办,汇丰经济论坛和复旦经济论坛,,经济学院,,,此外，经济学院定期举办汇丰经济论坛和复旦经济论坛，广邀海内外名家，以促进学术交流。
经济学院,经济学院,邀,海内外名家,,,,,此外，经济学院定期举办汇丰经济论坛和复旦经济论坛，广邀海内外名家，以促进学术交流。
经济学院,经济学院,促进,学术交流,,,,,此外，经济学院定期举办汇丰经济论坛和复旦经济论坛，广邀海内外名家，以促进学术交流。
