航空航天系,前身,创建,复旦大学数学系力学专业,1958年,﻿系概况航空航天系,,,"﻿系概况航空航天系的前身是于1958年创建的复旦大学数学系力学专业,1984独立建系,2015年改称航空航天系。"
航空航天系,前身,建,系,1984,,,,"﻿系概况航空航天系的前身是于1958年创建的复旦大学数学系力学专业,1984独立建系,2015年改称航空航天系。"
航空航天系,前身,改称,航空航天系,2015年,,,,"﻿系概况航空航天系的前身是于1958年创建的复旦大学数学系力学专业,1984独立建系,2015年改称航空航天系。"
航空航天系,我,系在,教学上注重基础,,,,,我系在教学上注重基础，强调理论、计算、实验综合能力的培养。
航空航天系,我,注重,基础,,,,,我系在教学上注重基础，强调理论、计算、实验综合能力的培养。
航空航天系,我,强调,理论、计算、实验综合能力的培养,,,,,我系在教学上注重基础，强调理论、计算、实验综合能力的培养。
航空航天系,我,计算,综合能力的培养,,,,,我系在教学上注重基础，强调理论、计算、实验综合能力的培养。
航空航天系,我,实验,综合能力的培养,,,,,我系在教学上注重基础，强调理论、计算、实验综合能力的培养。
航空航天系,我,培养,包括两院院士、国家首席科学家在内的一大批专家学者,,,,两,40多年来培养了包括两院院士、国家首席科学家在内的一大批专家学者。
航空航天系,我,包括,两院院士、国家首席科学家,,,,两,40多年来培养了包括两院院士、国家首席科学家在内的一大批专家学者。
航空航天系,科研方向,坚持,理论与应用的协调发展,,,,,科研方向上坚持理论与应用的协调发展，承担了973项目、国家自然科学基金重大项目、攀登计划项目等国家级重要科研任务，获得过诸多国家和省部级科技进步奖。
航空航天系,科研方向,承担,973项目、国家自然科学基金重大项目,,,,973,科研方向上坚持理论与应用的协调发展，承担了973项目、国家自然科学基金重大项目、攀登计划项目等国家级重要科研任务，获得过诸多国家和省部级科技进步奖。
航空航天系,科研方向,攀登,计划项目等国家级重要科研任务,,自然科学基金,,973,科研方向上坚持理论与应用的协调发展，承担了973项目、国家自然科学基金重大项目、攀登计划项目等国家级重要科研任务，获得过诸多国家和省部级科技进步奖。
航空航天系,科研方向,获得,诸多国家和省部级科技进步奖,,,,诸多,科研方向上坚持理论与应用的协调发展，承担了973项目、国家自然科学基金重大项目、攀登计划项目等国家级重要科研任务，获得过诸多国家和省部级科技进步奖。
航空航天系,我,涵盖,一个国家一级学科：力学，以及六个二级学课：一般力学、固体力学、流体力学、工程力学、生物力学、飞行器设计与工程,目前,,,,我系目前涵盖一个国家一级学科：力学，以及六个二级学课：一般力学、固体力学、流体力学、工程力学、生物力学、飞行器设计与工程。
航空航天系,我,下设,固体力学教研室、一般力学与工程力学教研室、流体力学教研室、飞行器设计与工程教研室四个教研室,,,,,下设：固体力学教研室、一般力学与工程力学教研室、流体力学教研室、飞行器设计与工程教研室四个教研室；力学综合实验室（包括：固体力学与材料力学教学实验、振动力学教学实验室、水动力学实验室、风洞实验室、计算机教学实验室）、飞行器设计与工程实验室两个实验室；复旦大学生物力学研究所、复旦大学力学与工程仿真研究所两个研究所。
