理学与工程,,﻿,复旦大学,,,,一,﻿复旦大学是中国科学基础研究和高技术领域原始创新的一支主力军。
理学与工程,复旦大学,是中国科学基础研究和高技术领域原始创新的主力军,,,复旦大学,,一,﻿复旦大学是中国科学基础研究和高技术领域原始创新的一支主力军。
理学与工程,复旦,设立,理学院,1929年,,,,1929年，复旦设立了理学院，自然科学框架初具规模；其后，又创设了一部分应用学科。
理学与工程,自然科学框架,初具规模,其后，又创设了一部分应用学科,1929年,,,,1929年，复旦设立了理学院，自然科学框架初具规模；其后，又创设了一部分应用学科。
理学与工程,复旦,创设,一部分应用学科,1929年,,,一,1929年，复旦设立了理学院，自然科学框架初具规模；其后，又创设了一部分应用学科。
理学与工程,复旦大学,成为,全国高校中最重要的自然科学重镇之一,,复旦大学,,,经过建国初期的院系调整，复旦大学成为全国高校中最重要的自然科学重镇之一。
理学与工程,学科,追赶,世界前沿,,,,,60多年来，经过几代人的奋斗，复旦的基础学科不断追赶世界前沿，一批新兴应用学科为国家和地方经济社会发展做出重要贡献，在国际上崭露头角。
理学与工程,学科,做出,重要贡献,,,,一,60多年来，经过几代人的奋斗，复旦的基础学科不断追赶世界前沿，一批新兴应用学科为国家和地方经济社会发展做出重要贡献，在国际上崭露头角。
理学与工程,学科,崭露头角,,,,,,60多年来，经过几代人的奋斗，复旦的基础学科不断追赶世界前沿，一批新兴应用学科为国家和地方经济社会发展做出重要贡献，在国际上崭露头角。
理学与工程,ESI,列出,学科领域,,,,22,在ESI列出的22个学科领域中，复旦现有15个学科进入全球前1%，数量位居全国第二；其中，化学、材料和数学3个领域进入了世界前100名。
理学与工程,学科,进入,全球,,,,1%,在ESI列出的22个学科领域中，复旦现有15个学科进入全球前1%，数量位居全国第二；其中，化学、材料和数学3个领域进入了世界前100名。
理学与工程,数量,位居,全国,,,,,在ESI列出的22个学科领域中，复旦现有15个学科进入全球前1%，数量位居全国第二；其中，化学、材料和数学3个领域进入了世界前100名。
理学与工程,领域,进入,世界,,,,100,在ESI列出的22个学科领域中，复旦现有15个学科进入全球前1%，数量位居全国第二；其中，化学、材料和数学3个领域进入了世界前100名。
