历史学系,﻿历史学系,创设,就在文科中开设有历史学课程,1905年,公学,,,﻿历史学系是复旦大学最为悠久的系科之一，1905年复旦公学高等正斋创设伊始，就在文科中开设有历史学课程。
历史学系,﻿历史学系,伊始,就在文科中开设有历史学课程,1905年,公学,,,﻿历史学系是复旦大学最为悠久的系科之一，1905年复旦公学高等正斋创设伊始，就在文科中开设有历史学课程。
历史学系,﻿历史学系,开设,有历史学课程,1905年,,,,﻿历史学系是复旦大学最为悠久的系科之一，1905年复旦公学高等正斋创设伊始，就在文科中开设有历史学课程。
历史学系,﻿历史学系,有,历史学课程,1905年,,,,﻿历史学系是复旦大学最为悠久的系科之一，1905年复旦公学高等正斋创设伊始，就在文科中开设有历史学课程。
历史学系,1925年,设系,史学系,1925年,,,,1925年正式设系，时称史学系。
历史学系,1925年,时称,史学系,1925年,,,,1925年正式设系，时称史学系。
历史学系,校本部,迁往,重庆,1937年,,,,1937年随校本部迁往重庆，1938春改为史地学系。
历史学系,1938春,改为,史地学系,1938,,,,1937年随校本部迁往重庆，1938春改为史地学系。
历史学系,同济大学文学院,并入,复旦,1949年,同济大学文学院,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,较弱,其他院校史地也多分开设系，遂议决改为史学系,1949年,,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,分,开设系,1949年,,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,开设,系,1949年,,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,议决,改为史学系,1949年,,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,改为,史学系,1949年,,,,1949年夏，暨南大学和同济大学文学院并入复旦，由于地理教学力量较弱，其他院校史地也多分开设系，遂议决改为史学系。
历史学系,同济大学文学院,得到,江浙多所大学著名史家的加盟,1952年,,,多,1952年全国院系调整时，因为得到江浙多所大学著名史家的加盟，复旦历史系获得前所未有的发展机遇。
历史学系,复旦历史系复旦历史系,获得,前所未有的发展机遇,1952年,历史系,,,1952年全国院系调整时，因为得到江浙多所大学著名史家的加盟，复旦历史系获得前所未有的发展机遇。
历史学系,复旦历史系复旦历史系,前所未有,发展机遇,1952年,历史系,,,1952年全国院系调整时，因为得到江浙多所大学著名史家的加盟，复旦历史系获得前所未有的发展机遇。
历史学系,同济大学文学院,有,周予同、谭其骧、陈守实、胡厚宣、马长寿、蔡尚思、杨宽等,,,,,本系的教授，在中国史方面，有周予同、谭其骧、陈守实、胡厚宣、马长寿、蔡尚思、杨宽等；在世界史方面，有周谷城、王造时、耿淡如、陈仁炳、章巽、田汝康等。
历史学系,同济大学文学院,有,周谷城、王造时、耿淡如、陈仁炳、章巽、田汝康等,,,,,本系的教授，在中国史方面，有周予同、谭其骧、陈守实、胡厚宣、马长寿、蔡尚思、杨宽等；在世界史方面，有周谷城、王造时、耿淡如、陈仁炳、章巽、田汝康等。
历史学系,已脱颖而出的中青年史家，如程博洪、张荫桐、胡绳武、赵人龙、金冲及等已脱颖而出的中青年史家,脱颖而出,中青年史家,当时,,,,还有当时已脱颖而出的中青年史家，如程博洪、张荫桐、胡绳武、赵人龙、金冲及等。
历史学系,学者,汇聚,于此,,,,一,一大批学者汇聚于此，逐步形成了复旦历史系自身的研究特色。
历史学系,学者,形成,复旦历史系自身的研究特色,,,,,一大批学者汇聚于此，逐步形成了复旦历史系自身的研究特色。
历史学系,章巽的中国古代海上交通研究,章巽,中国古代海上交通研究,,,,,如周谷城关于世界古代史及其他领域的研究，谭其骧的中国历史地理研究，周予同的经学史研究，陈守实的中国土地制度研究，胡厚宣的甲骨文研究，蔡尚思的中国思想文化史研究，杨宽的先秦史研究，章巽的中国古代海上交通研究，田汝康的古代中国与东南亚地区的海上交通和华侨问题、民族问题研究等，都有很高的学术建树。
历史学系,章巽的中国古代海上交通研究,有,很高的学术建树,,,,,如周谷城关于世界古代史及其他领域的研究，谭其骧的中国历史地理研究，周予同的经学史研究，陈守实的中国土地制度研究，胡厚宣的甲骨文研究，蔡尚思的中国思想文化史研究，杨宽的先秦史研究，章巽的中国古代海上交通研究，田汝康的古代中国与东南亚地区的海上交通和华侨问题、民族问题研究等，都有很高的学术建树。
