本科生教育,,﻿,人才培养,,,,一,﻿人才培养是一所大学发展的基石，复旦大学坚持把本科教育摆在发展首位。
本科生教育,人才培养,发展,基石,,大学,,一,﻿人才培养是一所大学发展的基石，复旦大学坚持把本科教育摆在发展首位。
本科生教育,复旦大学,坚持,把本科教育摆在发展首位,,复旦大学,,,﻿人才培养是一所大学发展的基石，复旦大学坚持把本科教育摆在发展首位。
本科生教育,复旦大学,摆在,发展首位,,复旦大学,,,﻿人才培养是一所大学发展的基石，复旦大学坚持把本科教育摆在发展首位。
本科生教育,复旦大学,发展,,,复旦大学,,,﻿人才培养是一所大学发展的基石，复旦大学坚持把本科教育摆在发展首位。
本科生教育,本科教学体系,奠基,于20世纪80年代,20世纪80年代,,,,学校现行的本科教学体系奠基于20世纪80年代。
本科生教育,学校,提出,“宽口径、厚基础、重能力、求创新”的理念，通过不断改革，逐步构建了以综合、文理基础和专业教育三大板块为内容的教学体系,1990年代,,,,1990年代，学校提出“宽口径、厚基础、重能力、求创新”的理念，通过不断改革，逐步构建了以综合、文理基础和专业教育三大板块为内容的教学体系。
本科生教育,学校,求,创新,1990年代,,,,1990年代，学校提出“宽口径、厚基础、重能力、求创新”的理念，通过不断改革，逐步构建了以综合、文理基础和专业教育三大板块为内容的教学体系。
本科生教育,学校,改革,以综合、文理基础和专业教育三大板块为内容的教学体系,1990年代,,,,1990年代，学校提出“宽口径、厚基础、重能力、求创新”的理念，通过不断改革，逐步构建了以综合、文理基础和专业教育三大板块为内容的教学体系。
本科生教育,学校,构建,以综合、文理基础和专业教育三大板块为内容的教学体系,1990年代,,,三,1990年代，学校提出“宽口径、厚基础、重能力、求创新”的理念，通过不断改革，逐步构建了以综合、文理基础和专业教育三大板块为内容的教学体系。
本科生教育,,进入,新世纪,,,,,进入新世纪，学校推出文理教育改革方案。
本科生教育,学校,推出,文理教育改革方案,,,,,进入新世纪，学校推出文理教育改革方案。
本科生教育,2005年,成立,复旦学院,2005年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,开始,面向全体学生的通识教育人才培养模式,2005年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,探索,面向全体学生的通识教育人才培养模式,2005年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,面向,全体学生,2005年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,破冰,实施本科招生自主选拔录取改革,2006年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,实施,本科招生自主选拔录取改革,2006年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,录取,改革,2006年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,力图,通识教育培养过程和人才选拔的对接,2006年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,2005年,实现,通识教育培养过程和人才选拔的对接,2006年,,,,根据方案，2005年成立了复旦学院，开始全面探索面向全体学生的通识教育人才培养模式；2006年，在全国率先“破冰”，实施本科招生自主选拔录取改革，力图实现通识教育培养过程和人才选拔的对接。
本科生教育,新的历史条件,新,,,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
本科生教育,学校,提出,要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才,,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
本科生教育,学校,要,国家和民族的未来,未来,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
本科生教育,学校,着眼,国家和民族的未来,未来,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
本科生教育,学校,培养,具有人文情怀、科学精神、国际视野、专业素养的领袖人才,未来,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
本科生教育,学校,具有,人文情怀、科学精神、国际视野、专业素养,未来,,,,在新的历史条件下，学校进一步明确提出，要着眼国家和民族的未来，培养具有人文情怀、科学精神、国际视野、专业素养的领袖人才。
